Id_District,N_District
1,Ancón
2,Santa Rosa
3,Ventanilla
4,Callao
5,La Punta
6,Carmen de La Legua-Reynoso
7,Bellavista
8,La Perla
9,Carabayllo
10,Puente Piedra
11,San Martín de Porres
12,Los Olivos
13,Comas
14,Independencia
15,San Juan de Lurigancho
16,Lima
17,Breña
18,Rímac
19,El Agustino
20,San Miguel
21,Pueblo Libre
22,Jesús María
23,Magdalena del Mar
24,Lince
25,La Victoria
26,San Luis
27,San Isidro
28,Miraflores
29,Surquillo
30,Barranco
31,San Borja
32,Santiago de Surco
33,Chorrillos
34,Santa Anita
35,Ate
36,La Molina
37,Lurigancho-Chosica
38,Chaclacayo
39,Cieneguilla
40,Pachacámac
41,San Juan de Miraflores
42,Villa María del Triunfo
43,Villa El Salvador
44,Lurín
45,Punta Hermosa
46,Punta Negra
47,San Bartolo
48,Santa María del Mar
49,Pucusana
